dif	sp	mType	tel	ax
0.843683574007439	C	T-to-A	10L	A
-0.527124370944225	C	T-to-A	10R	A
-2.07173392339039	C	T-to-A	11L	A
1.80168266701608	C	T-to-A	11R	A
0.500850814027864	C	T-to-A	12L	A
-0.570316921968294	C	T-to-A	12R	A
-0.50111324369909	C	T-to-A	13R	A
-0.603349664101	C	T-to-A	14R	A
-1.28592306516915	C	T-to-A	16L	A
-0.598802636212097	C	T-to-A	16R	A
0.040512882382684	C	T-to-A	17L	A
1.13934155013097	C	T-to-A	18R	A
-1.2032870158381	C	T-to-A	19L	A
0.466083829262178	C	T-to-A	19R	A
-0.468271992573385	C	T-to-A	21R	A
-0.464387180226475	C	T-to-A	22R	A
0.266093067038382	C	T-to-A	PAR1	PAR1
-0.0414059131340304	C	T-to-C	2R	A
1.02544921303272	C	T-to-C	4R	A
1.47334484154042	C	T-to-C	5R	A
2.07804133376028	C	T-to-C	6L	A
0.255815092620186	C	T-to-C	6R	A
0.242176086808531	C	T-to-C	7R	A
-0.508566947482656	C	T-to-C	8L	A
-0.422326048792319	C	T-to-C	8R	A
-0.861087487551611	C	T-to-C	9R	A
0.205980982595562	C	T-to-C	10L	A
-0.31874164796676	C	T-to-C	10R	A
-1.71014188453252	C	T-to-C	11L	A
1.53664476056944	C	T-to-C	11R	A
1.79096850833642	C	T-to-C	12L	A
-0.0344352215044123	C	T-to-C	12R	A
0.000513179109950067	C	T-to-C	13R	A
-0.786604019791263	C	T-to-C	14R	A
-1.75742329964937	C	T-to-C	16L	A
-1.01466575513762	C	T-to-C	16R	A
0.541014627083543	C	T-to-C	17L	A
0.382481112174413	C	T-to-C	18R	A
-1.56390954788401	C	T-to-C	19L	A
0.328092539306956	C	T-to-C	19R	A
-0.420965298935563	C	T-to-C	21R	A
-0.720880747747813	C	T-to-C	22R	A
0.300631543171521	C	T-to-C	PAR1	PAR1
-0.334719189438595	C	T-to-G	2R	A
1.04243332239687	C	T-to-G	4R	A
1.02777676476476	C	T-to-G	5R	A
1.84402610352243	C	T-to-G	6L	A
0.122137751568496	C	T-to-G	6R	A
0.0282944862455549	C	T-to-G	7R	A
-0.139900701080196	C	T-to-G	8L	A
-0.843348797044985	C	T-to-G	8R	A
-1.20914374828687	C	T-to-G	9R	A
-0.189522202457061	C	T-to-G	10L	A
-0.347067023635899	C	T-to-G	10R	A
-1.80649465958579	C	T-to-G	11L	A
1.19031270215413	C	T-to-G	11R	A
1.53304094782004	C	T-to-G	12L	A
-0.234935723290597	C	T-to-G	12R	A
-0.304576971529152	C	T-to-G	13R	A
-0.820042093724072	C	T-to-G	14R	A
-1.42255776303086	C	T-to-G	16L	A
-0.181621264419394	C	T-to-G	16R	A
0.263709153506519	C	T-to-G	17L	A
0.227097604145046	C	T-to-G	18R	A
-1.18453519508307	C	T-to-G	19L	A
0.511021101842974	C	T-to-G	19R	A
-0.762021016231553	C	T-to-G	21R	A
-0.36935459388766	C	T-to-G	22R	A
2.35999100475893	C	T-to-G	PAR1	PAR1
-1.18454860722985	G	C-to-A	2R	A
0.48249618057589	G	C-to-A	4R	A
-1.14911665522013	G	C-to-A	5R	A
-1.06146217151011	G	C-to-A	6L	A
-0.352897270042139	G	C-to-A	6R	A
-0.580214611574932	G	C-to-A	7R	A
3.01045233286261	G	C-to-A	8L	A
1.28350501133693	G	C-to-A	8R	A
0.266393165102691	G	C-to-A	9R	A
-0.350708268279328	G	C-to-A	10L	A
-0.0372184124695537	G	C-to-A	10R	A
0.826089899414534	G	C-to-A	11L	A
-0.344475004462052	G	C-to-A	11R	A
-1.73195211257384	G	C-to-A	12L	A
-0.738793354130822	G	C-to-A	12R	A
-0.794912916048505	G	C-to-A	13R	A
0.0480642791248739	G	C-to-A	14R	A
0.056389883639876	G	C-to-A	16L	A
0.679215643703876	G	C-to-A	16R	A
-1.29736574125915	G	C-to-A	17L	A
0.305271763059988	G	C-to-A	18R	A
0.765428214043228	G	C-to-A	19L	A
1.55499836148276	G	C-to-A	19R	A
-0.308021019019084	G	C-to-A	21R	A
0.236471325538859	G	C-to-A	22R	A
0.416910083933414	G	C-to-A	PAR1	PAR1
-0.925219621245271	G	C-to-G	2R	A
-0.91773952931914	G	C-to-G	4R	A
-1.44407249989066	G	C-to-G	5R	A
-0.779782433118704	G	C-to-G	6L	A
-0.756332779051884	G	C-to-G	6R	A
-0.394988236006527	G	C-to-G	7R	A
2.23870083721717	G	C-to-G	8L	A
-0.066779677186568	G	C-to-G	8R	A
-0.0547702745907317	G	C-to-G	9R	A
0.171909135897944	G	C-to-G	10L	A
-0.270916691360922	G	C-to-G	10R	A
0.48077807132406	G	C-to-G	11L	A
-0.551701252310744	G	C-to-G	11R	A
-0.824760574197287	G	C-to-G	12L	A
-0.501781482439453	G	C-to-G	12R	A
-0.672967889010942	G	C-to-G	13R	A
0.223367730279328	G	C-to-G	14R	A
2.08122704287952	G	C-to-G	16L	A
1.12992413906921	G	C-to-G	16R	A
0.811649078924185	G	C-to-G	17L	A
-0.796255718253803	G	C-to-G	18R	A
1.35664411723389	G	C-to-G	19L	A
-0.875266653953875	G	C-to-G	19R	A
-0.352195824276452	G	C-to-G	21R	A
-0.321769294086414	G	C-to-G	22R	A
2.01310027747407	G	C-to-G	PAR1	PAR1
0.760798022519398	G	C-to-T	2R	A
-1.82309885715489	G	C-to-T	4R	A
-0.666343515725685	G	C-to-T	5R	A
-1.89137649239573	G	C-to-T	6L	A
-0.461651360997581	G	C-to-T	6R	A
-0.13501648651358	G	C-to-T	7R	A
-0.569126339188153	G	C-to-T	8L	A
0.936467225251426	G	C-to-T	8R	A
1.0649868635579	G	C-to-T	9R	A
-0.80563606509196	G	C-to-T	10L	A
0.306964351984631	G	C-to-T	10R	A
1.78086861035374	G	C-to-T	11L	A
-1.35768125626679	G	C-to-T	11R	A
-1.41721839346825	G	C-to-T	12L	A
0.521028762623715	G	C-to-T	12R	A
-0.0123279376759219	G	C-to-T	13R	A
0.917671650061648	G	C-to-T	14R	A
1.20540178039088	G	C-to-T	16L	A
0.370427199512054	G	C-to-T	16R	A
-0.319273733791114	G	C-to-T	17L	A
-0.72071564936347	G	C-to-T	18R	A
1.41869315215153	G	C-to-T	19L	A
