spAbbr	bin	posCM	femaleFreq1	femaleFreq2	maleFreq1	maleFreq2	avgDiff	pval	pvalAdj	sign0.05	sign0.1	bfCorr0.05	bfCorr0.1	diff
HUM	3	3.40882129802678	53102	52290	48425	47557	0.0313098140425139	0.764982527780659	1	ns	ns	0.0025	0.005	-0.000669396345148066
HUM	4	4.5450950640357	61659	58741	56208	53442	0.029109992834343	0.815111248871995	1	ns	ns	0.0025	0.005	-0.00049491889779163
HUM	5	5.68136883004463	88631	91689	80878	83342	0.0267003540546653	0.568871564783023	1	ns	ns	0.0025	0.005	-0.000977238721575568
HUM	6	6.81764259605355	92490	95782	84254	87208	0.0271928223996321	0.938790555115786	1	ns	ns	0.0025	0.005	-0.000128516605928497
HUM	7	7.95391636206248	108252	116532	98651	106063	0.0261636792235579	0.837706974939738	1	ns	ns	0.0025	0.005	-0.000314375874914008
HUM	8	9.0901901280714	61128	72936	55664	66430	0.0248909505322597	0.980989540412402	1	ns	ns	0.0025	0.005	5.03125226699042e-05
HUM	9	10.2264638940803	44111	41345	40085	37741	0.0359540605232919	0.65190559663283	1	ns	ns	0.0025	0.005	0.00112453238176013
HUM	10	11.3627376600893	24674	28862	22441	26315	0.027061870773414	0.845652811347596	1	ns	ns	0.0025	0.005	0.000614576374482867
HUM	11	12.4990114260982	56318	60050	51310	54668	0.0277409327542374	0.92891259485947	1	ns	ns	0.0025	0.005	-0.000192425382087413
HUM	12	13.6352851921071	74785	76751	68137	69869	0.0291587995138928	0.911111885032405	1	ns	ns	0.0025	0.005	-0.000211817912678769
HUM	13	14.771558958116	139514	141382	126944	128872	0.0314832870947422	0.747075648346125	1	ns	ns	0.0025	0.005	0.000443259440937482
HUM	14	15.907832724125	103353	107991	94156	98318	0.0287332871675432	0.919671714121279	1	ns	ns	0.0025	0.005	-0.000160782383965774
HUM	15	17.0441064901339	88165	89691	80119	81857	0.0262454005531684	0.531893148695167	1	ns	ns	0.0025	0.005	0.00107500493900331
HUM	16	18.1803802561428	69063	72393	62625	66201	0.0298648952851133	0.273913406701629	1	ns	ns	0.0025	0.005	0.00210874135877626
HUM	17	19.3166540221517	89337	101063	81138	92262	0.0331785508320975	0.440322578093542	1	ns	ns	0.0025	0.005	0.00128305734058332
HUM	18	20.4529277881607	115942	130906	105644	119164	0.025312552425689	0.870078789856983	1	ns	ns	0.0025	0.005	-0.000240046109187819
HUM	19	21.5892015541696	67907	62125	62092	56330	0.0264527645683596	0.297653346660849	1	ns	ns	0.0025	0.005	-0.00209526101568969
HUM	20	22.7254753201785	26572	20692	24166	18878	0.0300191166513999	0.814217373825173	1	ns	ns	0.0025	0.005	0.000778273394665963
